,text,tag
0,"in exotica everybody is watching , and what is worse , everybody knows .",pos
1,some of the gags are so carefully innocuous they're annoying .,neg
2,press junkets are a haven for control freaks .,neg
3,"then i realized he was , and i was watching it .",neg
4,uh huh .,neg
5,"and my god , couldn't they have done something else with edie mcclurg ?",neg
6,"cage , sinise , and yes , even de palma deserve better .",neg
7,they are like a couple of kids out exploring the empty lot at the end of the street .,pos
8,""" idle hands "" is bad , no matter the circumstances in the world outside .",neg
9,"in this case , the object of darryl's amor is janice ( tamara taylor ) , a fellow student who won't have anything to do with darryl until he gains his super-senses .",neg
10,"surprising really , when the effects are done by industrial light & magic , who did the effects for the lost world and twister .",neg
11,"incidentally , if you're afraid i'm giving too much away , rest assured that all of this happens in the first 30 minutes of the movie , leaving plenty of time for numerous dopey plot twists , a great deal of operatic acting and more footage of her tits and his ass .",neg
12,"man , i can't get over just how bad this movie is .",neg
13,did we attend the same movie ? !,neg
14,"an intergalactic kegger party , with jake busey playing "" dixie "" on a green plexiglas fiddle , has a certain bizarre appeal .",neg
15,"dunst has the potential to be a big star , if she chooses her projects well .",neg
16,"i see that you're hiding "" - "" from what ? """,neg
17,"unfortunately , sandler is going to make a lot of people shrug this one off as a no-brainer , but it's got so much surprise substance packed inside that i'm encouraging everyone to go see it .",pos
18,my favorite line was from a sideline fairy who is asked by her child why good can't fight back against the nazi-charged evil .,neg
19,"it was once said that in order to truly enjoy some of todays movies or novels , you must suspend disbelief . ",neg
20,"the most amusing harbinger of doom : john denver's "" rocky mountain high , "" which is played several times in the movie before someone dies .",pos
21,there's no conviction whatsoever as the movie barely pays lip service to it ; it's only here because someone apparently thought there should be some kind of boy-meets-girl subplot .,neg
22,i can't even begin to start about the film's absurd plot ; but let's not get into that .,neg
23,"at least "" my best friends wedding "" changed the formula a bit and had a somewhat surprise ending .",neg
24,sans the hook .,neg
25,why ?,neg
26,while rimbaud becomes angered at the literary world and never writes another poem after he becomes 19 .,neg
27,that title would be the confusing .,neg
28,"capt . gray edwards ( alec baldwin ) heads the task force that consists of a wise guy ( buscemi ) , a tough woman ( peri gilpin ) and a gentle giant ( ving rhames ) .",neg
29,"by the time seth makes a singularly biblical reappearance late in the film , it has become clear that taplitz is aiming for a fantastical fable which makes no connection with real human experience .",neg
30,"( --- for more first-run , dvd , and books-about-movies reviews , plus contests and the proverbial "" more ! "" ,",neg
31,"the point is that the idea of the crawford and baldwin's characters of the run from these killer russians isn't all that bad of an idea , it's just everything around that basic idea which kinda stinks out loud .",neg
32,"in the last ten minutes or so , for some inexplicable reason , things start coming together and you begin to get a sense of how this film might have been , like the trailer teases .",neg
33,"to make a long story short , the two couples pair off and spend the rest of the evening having their attempts to do the deed spoiled by nikki's obsession with safe sex .",neg
34,"their marriage isn't going well -- emily resents steven's controlling instincts , and , as a form of rebellion , she is having an affair with a penniless painter , david shaw ( viggo mortensen ) .",neg
35,ummm !,neg
36,"additionally the crime involves digging from a swimming pool to the bank vault , flooding the vault .",neg
37,"not to mention very straightforward plots , generally all-round bad dialogue and mr implacable leather-face himself in that same black outfit he's been in since nico doing his "" my hands are sharp , nimble knives "" thing , seagal the stoic , sir petrified ponytail , duke of dull .",neg
38,"why bring in "" the lone gunmen , "" three computer geek conspiracy theorists , for an even briefer appearance ? &nbsp ;",neg
39,"i might have expected this from an airplane-style farce , but i don't think that's what this movie is supposed to be .",neg
40,skin deep is a tedious and uneven comedy written and directed by blake edwards .,neg
41,i half expected cruise to peel off his facemask and reveal that he's really austin powers .,neg
